"FOLIO","P1_1","P1_2_1","P1_2_2","P1_3","P1_4_1","P1_4_2","P1_4_3","P1_4_4","P1_4_5","P1_4_6","P1_5","P4_1_1","P4_1_2","P4_1_3","ENT","FACTOR"
"00009246","03","02","01","1","2","2","1","2","1","2","02","1","1","1","32",770
"00009247","07","04","03","1","2","2","1","2","1","1","","1","1","1","21",1819
"00009248","02","01","01","2","","","","","","","","","","","20",738
"00009249","06","03","03","1","2","2","1","2","1","2","01","1","1","1","24",1360
"00009250","03","01","02","1","2","2","2","2","1","2","02","1","1","1","08",1047
"00009251","05","03","02","1","2","2","1","2","1","1","","1","1","1","28",1502
"00009252","05","01","04","1","2","2","2","2","1","2","02","1","1","1","21",3578
"00009253","05","02","03","1","1","2","1","2","1","1","","2","2","1","13",853
"00009254","01","00","01","2","","","","","","","","","","","13",1938
"00009255","02","01","01","1","2","1","1","2","1","1","","1","4","3","32",432
"00009256","05","02","03","1","2","2","2","2","1","1","","1","1","3","21",2342
"00009257","02","01","01","2","","","","","","","","","","","13",957
"00009258","06","04","02","1","2","2","1","2","1","1","","1","1","1","10",1470
"00009259","04","03","01","1","1","1","1","1","1","1","","1","1","1","08",1713
"00009260","02","01","01","2","","","","","","","","","","","08",1261
"00009261","02","01","01","2","","","","","","","","","","","05",1292
"00009262","07","03","04","1","2","2","2","2","1","2","01","2","2","2","20",3109
"00009263","04","03","01","1","1","2","1","1","1","1","","1","1","1","02",1389
"00009264","04","02","02","1","2","2","1","1","1","1","","1","1","1","16",2005
"00009265","07","04","03","2","","","","","","","","","","","09",1543
"00009266","06","04","02","1","2","2","1","2","1","1","","4","4","1","20",494
"00009267","10","06","04","1","2","2","1","2","1","2","01","1","1","1","01",189
"00009268","02","01","01","1","2","1","1","2","1","1","","2","1","3","03",688
"00009269","02","01","01","2","","","","","","","","","","","14",3074
"00009270","02","01","01","2","","","","","","","","","","","24",800
"00009271","01","00","01","2","","","","","","","","","","","04",708
"00009272","04","02","02","1","2","1","1","2","1","2","01","1","1","1","24",906
"00009273","02","01","01","2","","","","","","","","","","","30",2651
"00009274","04","03","01","1","2","2","1","1","1","1","","1","1","1","12",1041
"00009275","04","02","02","2","","","","","","","","","","","29",116
"00009276","02","01","01","2","","","","","","","","","","","20",738
"00009277","07","04","03","1","2","1","1","2","1","1","","1","1","1","12",455
"00009278","02","01","01","2","","","","","","","","","","","07",1217
"00009279","03","01","02","2","","","","","","","","","","","11",1101
"00009280","05","03","02","1","2","2","1","1","1","1","","1","1","1","23",1231
"00009281","04","01","03","1","1","1","1","2","1","1","","1","2","1","29",195
"00009282","04","03","01","1","2","1","2","1","1","1","","1","3","1","09",2988
"00009283","03","01","02","1","2","1","1","2","1","1","","1","3","2","23",878
"00009284","02","01","01","2","","","","","","","","","","","10",610
"00009285","04","01","03","1","2","1","1","1","1","1","","1","1","1","26",1494
"00009286","02","01","01","2","","","","","","","","","","","20",738
"00009287","05","02","03","1","1","1","2","2","1","1","","1","1","1","29",128
"00009288","03","00","03","1","2","2","1","1","1","1","","3","3","3","21",2800
"00009289","03","01","02","1","2","2","2","2","1","2","01","1","1","1","06",274
"00009290","01","00","01","2","","","","","","","","","","","18",507
"00009291","04","02","02","1","2","2","1","1","1","1","","1","2","2","06",275
"00009292","05","02","03","1","2","2","1","2","1","2","01","1","3","3","31",608
"00009293","08","04","04","1","1","1","1","2","1","1","","1","1","1","05",1717
"00009294","06","03","03","1","2","2","2","2","1","2","01","1","1","3","21",1276
"00009295","03","01","02","1","2","1","1","1","1","1","","1","1","2","29",404
"00009296","04","02","02","2","","","","","","","","","","","06",123
"00009297","03","02","01","1","2","1","1","2","1","1","","1","1","1","11",1455
"00009298","04","01","03","1","2","2","1","2","1","1","","2","3","2","19",3418
"00009299","03","01","02","1","1","2","1","2","1","1","","1","1","1","17",490
"00009300","02","01","01","2","","","","","","","","","","","24",800
"00009301","02","01","01","2","","","","","","","","","","","21",1468
"00009302","04","03","01","1","2","1","1","2","1","1","","1","1","2","29",345
"00009303","06","03","03","1","1","1","1","1","1","1","","3","2","1","03",497
"00009304","03","01","02","1","2","1","2","1","1","2","02","1","1","1","10",445
"00009305","04","01","03","2","","","","","","","","","","","24",418
"00009306","02","01","01","1","2","2","2","2","1","1","","1","2","1","21",2354
"00009307","04","03","01","1","2","1","1","1","1","2","01","1","2","1","08",956
"00009308","01","00","01","2","","","","","","","","","","","22",1656
"00009309","01","00","01","1","2","1","1","2","1","1","","3","1","3","24",2179
"00009310","03","01","02","2","","","","","","","","","","","06",150
"00009311","03","01","02","1","2","1","1","2","1","1","","1","2","2","09",4707
"00009312","03","02","01","2","","","","","","","","","","","17",296
