"FOLIO","P1_1","P1_2_1","P1_2_2","P1_3","P1_4_1","P1_4_2","P1_4_3","P1_4_4","P1_4_5","P1_4_6","P1_5","P4_1_1","P4_1_2","P4_1_3","ENT","FACTOR"
"00000001","01","01","00","2","","","","","","","","","","","01",925
"00000002","04","02","02","1","1","1","1","1","1","1","","1","1","1","24",809
"00000003","02","00","02","2","","","","","","","","","","","02",1248
"00000004","01","00","01","2","","","","","","","","","","","09",8713
"00000005","02","01","01","2","","","","","","","","","","","05",1292
"00000006","04","03","01","2","","","","","","","","","","","29",110
"00000007","07","03","04","1","2","2","1","2","1","1","","2","2","3","22",722
"00000008","01","01","00","2","","","","","","","","","","","24",1565
"00000009","05","03","02","1","1","1","1","1","1","1","","1","1","1","26",425
"00000010","03","02","01","2","","","","","","","","","","","06",166
"00000011","04","02","02","1","1","1","1","2","1","1","","2","1","2","26",584
"00000012","02","01","01","2","","","","","","","","","","","21",1468
"00000013","02","01","01","2","","","","","","","","","","","24",800
"00000014","05","03","02","1","2","1","1","1","1","1","","2","2","1","18",413
"00000015","04","02","02","1","2","1","2","2","1","1","","1","1","1","18",322
"00000016","01","00","01","2","","","","","","","","","","","28",3731
"00000017","01","00","01","2","","","","","","","","","","","06",416
"00000018","02","01","01","2","","","","","","","","","","","32",324
"00000019","05","01","04","1","2","1","1","2","1","1","","2","2","1","27",450
"00000020","02","01","01","2","","","","","","","","","","","02",1154
"00000021","07","04","03","1","2","1","1","1","1","1","","1","1","1","26",945
"00000022","04","01","03","1","1","1","1","1","1","1","","4","1","1","11",1823
"00000023","02","01","01","2","","","","","","","","","","","32",324
"00000024","03","02","01","1","1","1","1","1","1","1","","1","1","1","16",1017
"00000025","05","02","03","1","2","1","2","2","1","1","","1","2","2","29",296
"00000026","05","03","02","1","2","2","1","2","1","2","02","2","2","2","26",595
"00000027","01","00","01","2","","","","","","","","","","","16",2252
"00000028","05","02","03","1","2","1","1","2","1","1","","2","1","2","09",3941
"00000029","06","03","03","1","2","2","1","2","1","2","01","1","1","2","26",1236
"00000030","04","02","02","1","1","1","1","1","1","1","","1","1","2","16",1835
"00000031","02","01","01","2","","","","","","","","","","","03",253
"00000032","06","03","03","1","2","2","1","2","1","1","","2","2","2","15",8270
"00000033","04","02","02","1","2","2","1","1","1","1","","1","1","1","02",931
"00000034","01","00","01","2","","","","","","","","","","","24",1587
"00000035","02","01","01","2","","","","","","","","","","","16",1104
"00000036","02","01","01","2","","","","","","","","","","","30",2651
"00000037","03","02","01","1","1","1","1","1","1","1","","1","1","1","25",1229
"00000038","01","00","01","1","2","1","2","2","1","1","","2","1","2","06",645
"00000039","02","01","01","2","","","","","","","","","","","07",1217
"00000040","02","00","02","1","2","1","1","2","1","1","","1","1","1","30",3599
"00000041","04","01","03","1","2","2","1","2","1","2","07","1","1","2","22",848
"00000042","03","02","01","1","2","1","1","2","1","1","","1","1","2","26",1300
"00000043","04","02","02","1","2","1","1","2","1","1","","1","3","3","28",1405
"00000044","03","02","01","1","2","2","1","1","1","1","","1","1","1","25",1079
"00000045","03","01","02","1","2","2","2","2","1","2","01","2","2","2","32",418
"00000046","03","02","01","1","2","1","1","2","2","1","","1","1","1","07",1312
"00000047","01","01","00","2","","","","","","","","","","","03",488
"00000048","01","01","00","2","","","","","","","","","","","02",2389
"00000049","02","01","01","1","2","2","1","2","1","2","09","4","4","3","02",2246
"00000050","02","01","01","2","","","","","","","","","","","09",4378
"00000051","05","02","03","1","1","1","1","2","1","1","","1","1","3","18",275
"00000052","05","04","01","1","1","1","1","1","1","1","","1","1","1","29",297
"00000053","05","02","03","1","2","2","1","1","1","1","","2","3","3","06",259
"00000054","07","04","03","1","2","2","1","2","1","2","01","1","1","1","18",1056
"00000055","01","01","00","2","","","","","","","","","","","32",696
"00000056","03","02","01","2","","","","","","","","","","","26",572
"00000057","03","01","02","1","1","1","1","1","1","1","","1","2","2","09",6242
"00000058","04","02","02","1","2","2","1","2","1","2","01","1","1","1","20",460
"00000059","03","01","02","1","2","2","2","2","1","2","01","2","3","2","20",901
"00000060","03","02","01","2","","","","","","","","","","","31",555
"00000061","02","01","01","1","2","1","1","2","1","1","","3","3","4","31",992
"00000062","02","01","01","2","","","","","","","","","","","30",2651
"00000063","01","00","01","2","","","","","","","","","","","25",1899
"00000064","04","02","02","1","2","1","1","1","1","1","","1","1","1","24",1227
"00000065","05","02","03","1","1","2","1","2","1","2","04","1","2","2","20",718
"00000066","01","01","00","2","","","","","","","","","","","02",2389
"00000067","03","02","01","2","","","","","","","","","","","26",572
"00000068","05","02","03","1","2","1","1","2","1","1","","1","1","1","01",569
"00000069","06","04","02","1","2","2","2","2","1","2","06","1","1","1","08",1765
"00000070","03","01","02","2","","","","","","","","","","","15",2960
"00000071","03","01","02","2","","","","","","","","","","","13",666
"00000072","05","01","04","2","","","","","","","","","","","05",445
"00000073","02","01","01","2","","","","","","","","","","","15",4670
"00000074","02","01","01","1","2","1","1","2","1","2","07","1","1","1","23",1599
"00000075","08","03","05","2","","","","","","","","","","","01",79
"00000076","03","02","01","1","2","2","1","1","1","1","","1","2","2","23",934
"00000077","04","02","02","1","2","1","1","2","1","1","","1","1","2","09",3662
"00000078","03","02","01","1","2","1","1","1","1","1","","2","2","2","16",1490
"00000079","04","03","01","1","2","1","1","1","1","1","","1","1","1","05",1455
"00000080","04","03","01","1","2","2","1","2","1","1","","2","2","2","06",187
"00000081","03","02","01","2","","","","","","","","","","","24",538
"00000082","04","03","01","1","2","1","1","2","1","1","","1","1","1","01",794
"00000083","07","02","05","1","2","2","1","2","1","1","","1","1","1","17",600
"00000084","04","02","02","2","","","","","","","","","","","24",413
"00000085","04","02","02","1","2","2","1","2","1","1","","1","1","2","18",353
"00000086","03","01","02","1","2","1","1","2","1","1","","2","1","3","02",1434
"00000087","02","01","01","2","","","","","","","","","","","21",1468
"00000088","02","01","01","1","2","2","2","2","1","1","","3","3","4","08",1749
"00000089","01","01","00","2","","","","","","","","","","","14",5551
"00000090","01","00","01","2","","","","","","","","","","","14",5722
"00000091","05","01","04","1","2","1","1","1","1","1","","1","1","4","10",742
"00000092","04","01","03","1","2","1","1","2","1","1","","1","1","3","24",1277
"00000093","03","02","01","1","1","1","1","2","1","1","","1","1","1","06",203
"00000094","02","01","01","2","","","","","","","","","","","06",228
"00000095","05","01","04","1","1","1","1","2","1","1","","1","2","2","27",581
"00000096","03","01","02","1","1","2","1","2","1","1","","2","2","2","27",647
"00000097","02","01","01","1","2","2","2","2","2","1","","4","4","1","32",680
"00000098","02","01","01","2","","","","","","","","","","","03",253
"00000099","03","02","01","1","2","2","1","2","1","1","","1","1","1","27",1012
"00000100","05","02","03","1","2","2","1","2","1","1","","3","3","3","11",2178
"00000101","04","02","02","2","","","","","","","","","","","13",493
"00000102","02","01","01","2","","","","","","","","","","","22",798
"00000103","03","02","01","1","2","1","1","1","1","1","","1","1","1","32",257
"00000104","01","01","00","2","","","","","","","","","","","30",5920
"00000105","02","01","01","2","","","","","","","","","","","27",585
"00000106","04","02","02","1","2","2","1","1","1","1","","1","1","2","07",1375
"00000107","02","01","01","2","","","","","","","","","","","28",1726
"00000108","05","03","02","2","","","","","","","","","","","14",1572
"00000109","03","00","03","2","","","","","","","","","","","17",240
"00000110","01","01","00","1","2","2","1","2","1","1","","1","1","2","07",2992
"00000111","01","00","01","2","","","","","","","","","","","30",5568
"00000112","04","02","02","2","","","","","","","","","","","23",495
"00000113","01","00","01","2","","","","","","","","","","","17",1248
"00000114","03","02","01","1","2","1","1","2","1","1","","1","1","2","07",1379
"00000115","04","02","02","1","1","2","1","2","1","1","","1","1","1","19",2546
"00000116","04","02","02","1","2","1","1","1","1","1","","1","2","3","06",221
"00000117","01","00","01","2","","","","","","","","","","","12",1925
"00000118","04","01","03","1","1","1","1","1","1","1","","1","1","2","04",246
"00000119","04","02","02","1","2","2","2","2","2","1","","2","1","2","12",859
"00000120","01","00","01","2","","","","","","","","","","","18",507
"00000121","01","01","00","2","","","","","","","","","","","01",925
"00000122","01","01","00","2","","","","","","","","","","","32",696
"00000123","01","01","00","2","","","","","","","","","","","12",2010
"00000124","06","05","01","1","2","2","1","1","1","2","01","1","1","1","25",2259
"00000125","04","01","03","1","2","2","1","2","1","1","","1","1","1","21",1745
"00000126","01","00","01","2","","","","","","","","","","","08",2474
"00000127","07","04","03","1","2","2","2","2","1","1","","2","2","2","06",541
"00000128","04","02","02","1","2","1","1","2","1","1","","1","1","1","12",1328
"00000129","04","02","02","1","2","1","1","2","1","1","","1","1","1","30",6465
"00000130","03","01","02","1","2","2","1","2","1","2","01","2","1","2","23",963
"00000131","07","01","06","1","2","2","2","2","2","2","06","9","9","9","07",410
"00000132","06","04","02","1","2","2","2","2","1","1","","1","1","1","12",882
"00000133","04","03","01","1","2","1","1","1","1","1","","1","1","1","24",987
"00000134","04","02","02","1","2","1","1","1","1","1","","1","1","1","12",1040
"00000135","05","02","03","1","1","1","1","2","1","1","","1","1","1","11",5303
"00000136","01","00","01","2","","","","","","","","","","","21",3397
"00000137","01","01","00","2","","","","","","","","","","","14",5551
"00000138","06","03","03","1","1","2","1","2","1","1","","2","1","2","15",3500
"00000139","06","04","02","1","2","2","2","2","1","1","","1","1","1","11",3664
"00000140","07","05","02","2","","","","","","","","","","","02",202
"00000141","05","01","04","2","","","","","","","","","","","32",105
"00000142","02","01","01","2","","","","","","","","","","","23",982
"00000143","10","03","07","2","","","","","","","","","","","20",39
"00000144","01","01","00","2","","","","","","","","","","","02",2389
"00000145","02","02","00","2","","","","","","","","","","","21",1374
"00000146","04","02","02","1","1","2","1","2","1","1","","2","2","2","27",602
"00000147","03","01","02","1","2","2","1","2","1","1","","1","2","1","03",274
"00000148","01","01","00","2","","","","","","","","","","","02",2389
"00000149","05","03","02","1","2","1","1","2","1","1","","1","1","1","15",4507
"00000150","04","01","03","1","2","2","1","2","1","1","","2","2","2","24",739
"00000151","04","03","01","1","2","2","1","2","1","2","07","2","2","3","06",216
"00000152","02","01","01","2","","","","","","","","","","","28",1726
"00000153","03","00","03","1","2","1","2","2","1","1","","1","1","4","26",1060
"00000154","01","00","01","2","","","","","","","","","","","17",1248
"00000155","05","04","01","2","","","","","","","","","","","31",358
"00000156","02","01","01","2","","","","","","","","","","","03",253
"00000157","02","00","02","1","2","2","1","2","1","1","","2","2","3","01",662
"00000158","02","01","01","2","","","","","","","","","","","29",288
"00000159","01","00","01","2","","","","","","","","","","","01",948
"00000160","04","02","02","2","","","","","","","","","","","14",1829
"00000161","02","01","01","2","","","","","","","","","","","16",1104
"00000162","05","03","02","1","2","2","1","2","1","2","01","1","1","2","23",714
"00000163","03","01","02","1","2","1","1","2","1","1","","1","1","1","09",6005
"00000164","06","03","03","1","1","2","1","2","1","1","","2","3","2","29",451
"00000165","04","03","01","1","1","1","1","2","1","1","","1","2","1","29",227
"00000166","02","01","01","2","","","","","","","","","","","16",1104
"00000167","05","02","03","2","","","","","","","","","","","12",204
"00000168","03","02","01","1","2","1","1","1","1","1","","3","2","4","03",237
"00000169","01","00","01","2","","","","","","","","","","","11",3641
"00000170","03","00","03","2","","","","","","","","","","","08",729
"00000171","03","02","01","1","2","2","1","2","1","1","","1","1","1","02",1353
"00000172","03","02","01","1","1","1","1","2","1","1","","1","1","1","26",862
"00000173","01","00","01","2","","","","","","","","","","","19",4625
"00000174","06","04","02","1","2","1","2","2","1","2","01","1","1","1","13",1602
"00000175","06","02","04","1","2","1","1","2","1","1","","1","1","2","09",6769
"00000176","02","00","02","2","","","","","","","","","","","12",804
"00000177","06","04","02","1","2","1","1","1","1","1","","1","1","1","20",263
"00000178","03","01","02","1","2","2","2","2","1","2","02","1","1","2","15",4268
"00000179","07","04","03","1","2","2","1","2","1","1","","1","1","1","13",2828
"00000180","05","01","04","1","1","2","1","2","1","1","","1","1","1","25",1213
"00000181","07","04","03","2","","","","","","","","","","","25",504
"00000182","05","01","04","2","","","","","","","","","","","07",385
"00000183","04","02","02","1","2","2","1","2","1","1","","1","1","1","14",4733
"00000184","05","02","03","1","2","2","1","2","1","1","","2","2","3","01",430
"00000185","03","02","01","2","","","","","","","","","","","20",411
"00000186","01","01","00","2","","","","","","","","","","","15",9827
"00000187","04","03","01","1","2","2","1","2","1","1","","1","1","1","05",1980
"00000188","03","01","02","2","","","","","","","","","","","29",176
"00000189","04","02","02","2","","","","","","","","","","","14",1829
"00000190","04","02","02","1","1","2","1","2","1","1","","2","2","2","28",2191
"00000191","07","04","03","1","2","2","1","2","1","1","","1","1","1","11",1582
"00000192","04","02","02","1","1","1","1","2","1","1","","1","1","1","14",3468
"00000193","03","01","02","1","2","1","1","2","1","1","","1","1","1","08",1047
"00000194","06","03","03","1","2","1","1","2","1","1","","2","2","1","01",633
"00000195","03","01","02","1","2","1","1","2","1","1","","1","1","1","21",1440
"00000196","06","02","04","1","2","2","1","2","1","2","01","1","1","1","24",814
"00000197","05","04","01","2","","","","","","","","","","","31",358
"00000198","02","01","01","2","","","","","","","","","","","05",1292
"00000199","04","03","01","1","2","1","1","2","1","1","","1","1","1","12",732
"00000200","07","04","03","1","1","2","1","2","1","1","","1","1","2","29",779
"00000201","05","02","03","1","2","1","1","2","1","1","","1","1","2","06",213
"00000202","05","03","02","1","2","2","1","2","1","2","07","1","1","1","31",593
"00000203","05","03","02","1","2","2","1","2","1","2","01","1","1","1","15",4844
"00000204","04","03","01","1","2","1","1","2","1","2","01","2","3","2","27",590
"00000205","04","01","03","1","2","1","1","1","1","1","","1","1","1","25",3350
"00000206","04","03","01","1","2","1","1","1","1","1","","1","1","1","27",322
"00000207","02","00","02","2","","","","","","","","","","","01",452
"00000208","02","01","01","2","","","","","","","","","","","06",228
"00000209","02","01","01","2","","","","","","","","","","","31",804
"00000210","04","01","03","1","2","1","1","2","1","1","","1","1","1","14",3285
"00000211","02","01","01","2","","","","","","","","","","","08",1261
"00000212","07","03","04","2","","","","","","","","","","","14",1377
"00000213","03","01","02","2","","","","","","","","","","","10",332
"00000214","02","01","01","2","","","","","","","","","","","31",804
"00000215","02","01","01","2","","","","","","","","","","","18",281
"00000216","04","03","01","1","2","2","2","2","1","1","","2","3","1","20",1250
"00000217","05","01","04","1","2","2","1","2","1","2","06","1","1","1","02",2387
"00000218","05","02","03","1","2","2","1","2","1","2","01","1","1","3","13",1167
"00000219","02","01","01","2","","","","","","","","","","","27",585
"00000220","07","05","02","1","1","2","1","2","1","1","","1","1","1","32",348
"00000221","03","02","01","1","1","1","1","2","1","1","","1","1","1","09",2950
"00000222","02","01","01","2","","","","","","","","","","","18",281
"00000223","03","01","02","2","","","","","","","","","","","15",2960
"00000224","01","00","01","2","","","","","","","","","","","05",2764
"00000225","02","01","01","1","2","2","1","2","1","1","","1","1","3","09",5462
"00000226","01","00","01","2","","","","","","","","","","","12",1925
"00000227","03","02","01","1","1","2","2","2","1","1","","1","1","1","29",304
"00000228","05","01","04","1","2","1","1","2","1","1","","1","1","1","15",4754
"00000229","04","02","02","1","2","1","1","1","1","1","","1","1","1","23",1312
"00000230","06","01","05","1","2","2","2","2","1","1","","1","1","3","01",445
"00000231","01","01","00","2","","","","","","","","","","","02",2389
"00000232","02","01","01","2","","","","","","","","","","","03",253
"00000233","04","01","03","1","2","1","1","2","1","1","","1","1","1","14",4022
"00000234","02","01","01","2","","","","","","","","","","","06",228
"00000235","04","02","02","2","","","","","","","","","","","12",305
"00000236","03","02","01","1","2","2","1","2","2","2","01","2","2","4","06",352
"00000237","02","01","01","2","","","","","","","","","","","32",324
"00000238","02","01","01","2","","","","","","","","","","","31",804
"00000239","02","00","02","2","","","","","","","","","","","12",804
"00000240","01","01","00","2","","","","","","","","","","","12",2010
"00000241","04","03","01","1","2","2","1","2","1","1","","3","2","3","18",1053
"00000242","04","03","01","1","2","1","1","2","1","1","","3","2","3","17",540
"00000243","04","02","02","1","2","2","1","1","1","2","01","1","1","2","04",1216
"00000244","05","03","02","2","","","","","","","","","","","21",405
"00000245","05","01","04","1","2","1","1","2","1","1","","1","1","1","12",1045
"00000246","02","00","02","2","","","","","","","","","","","21",1568
"00000247","05","04","01","1","1","1","1","1","1","1","","1","2","1","25",2049
"00000248","06","02","04","1","2","2","1","2","1","2","06","1","1","1","23",1207
"00000249","02","01","01","2","","","","","","","","","","","13",957
"00000250","07","03","04","1","2","2","1","2","1","2","01","2","2","2","19",2295
"00000251","05","04","01","1","2","2","1","2","1","1","","1","1","1","26",499
"00000252","02","01","01","1","1","1","1","2","1","1","","1","1","1","22",1219
"00000253","02","01","01","2","","","","","","","","","","","17",527
"00000254","02","01","01","1","2","1","1","2","1","1","","1","1","1","23",1131
"00000255","02","01","01","1","1","1","2","1","1","2","01","2","2","1","04",728
"00000256","01","01","00","1","2","2","1","2","1","1","","1","1","1","14",9211
"00000257","02","01","01","2","","","","","","","","","","","06",228
"00000258","05","02","03","1","1","1","1","2","1","1","","1","1","1","25",1147
"00000259","04","03","01","1","2","1","1","2","1","1","","2","3","4","31",730
"00000260","02","01","01","1","2","1","1","1","1","2","09","2","1","1","01",607
"00000261","02","01","01","2","","","","","","","","","","","13",957
"00000262","02","01","01","2","","","","","","","","","","","01",441
"00000263","05","03","02","1","2","2","2","2","1","2","01","1","1","1","32",603
"00000264","02","01","01","2","","","","","","","","","","","08",1261
"00000265","01","01","00","2","","","","","","","","","","","20",1734
"00000266","04","02","02","2","","","","","","","","","","","25",647
"00000267","05","02","03","1","2","1","1","1","1","1","","1","1","1","01",938
"00000268","03","02","01","1","2","1","1","2","1","1","","1","1","1","26",695
"00000269","01","00","01","2","","","","","","","","","","","32",585
"00000270","04","02","02","1","2","1","1","1","1","1","","2","2","3","09",4200
"00000271","03","02","01","2","","","","","","","","","","","26",572
"00000272","02","01","01","2","","","","","","","","","","","01",441
"00000273","02","01","01","2","","","","","","","","","","","06",228
"00000274","04","02","02","1","1","1","1","2","1","1","","1","2","2","19",2372
"00000275","02","00","02","1","2","2","2","2","1","2","01","1","1","1","26",1101
"00000276","03","03","00","2","","","","","","","","","","","08",930
"00000277","02","01","01","2","","","","","","","","","","","08",1261
"00000278","03","01","02","1","2","2","1","2","1","1","","1","1","1","14",3494
"00000279","01","01","00","2","","","","","","","","","","","19",4517
"00000280","03","02","01","1","2","1","1","2","1","1","","1","1","1","01",766
"00000281","03","02","01","1","2","1","2","2","1","1","","1","1","3","20",885
"00000282","03","01","02","1","2","1","1","2","1","1","","1","1","1","22",734
"00000283","02","01","01","2","","","","","","","","","","","12",839
"00000284","01","00","01","2","","","","","","","","","","","05",2764
"00000285","02","00","02","2","","","","","","","","","","","08",1163
"00000286","02","01","01","2","","","","","","","","","","","05",1292
"00000287","03","01","02","2","","","","","","","","","","","20",419
"00000288","04","02","02","1","2","2","1","2","1","2","02","2","2","2","17",793
"00000289","02","01","01","1","2","1","1","1","1","1","","1","1","2","04",468
"00000290","07","03","04","1","2","1","1","2","1","1","","1","1","1","26",1078
"00000291","02","00","02","1","2","2","1","1","1","1","","2","1","1","27",927
"00000292","06","02","04","1","2","2","2","2","1","1","","1","1","1","01",878
"00000293","05","01","04","1","1","2","1","2","1","1","","2","1","4","20",1093
"00000294","05","01","04","1","2","1","1","2","1","1","","1","2","2","15",9626
"00000295","03","01","02","1","2","1","1","2","1","1","","1","1","2","04",335
"00000296","02","01","01","2","","","","","","","","","","","06",228
"00000297","01","01","00","2","","","","","","","","","","","11",3880
"00000298","04","01","03","1","2","1","1","2","1","2","01","1","1","1","29",181
"00000299","04","02","02","1","2","1","1","1","1","1","","1","4","1","04",194
"00000300","05","03","02","1","1","1","1","1","1","1","","1","1","1","08",4722
"00000301","06","02","04","1","1","1","1","2","1","1","","1","1","3","26",1004
"00000302","02","00","02","1","2","2","1","2","2","1","","1","1","1","32",472
"00000303","03","01","02","1","2","1","1","2","1","1","","1","1","2","21",1818
"00000304","05","02","03","2","","","","","","","","","","","20",179
"00000305","03","01","02","2","","","","","","","","","","","27",379
"00000306","05","02","03","1","2","1","2","1","1","1","","1","1","1","32",322
"00000307","02","01","01","1","2","2","1","2","1","1","","1","2","1","30",5437
"00000308","08","04","04","1","2","2","1","1","1","1","","1","1","1","32",356
"00000309","03","01","02","1","2","2","2","2","1","2","02","1","2","1","11",1744
"00000310","04","03","01","1","2","2","2","2","1","2","02","3","1","3","03",258
"00000311","01","01","00","2","","","","","","","","","","","16",1938
"00000312","02","01","01","2","","","","","","","","","","","29",288
"00000313","03","01","02","1","2","2","2","2","1","2","01","1","2","2","12",1114
"00000314","02","01","01","2","","","","","","","","","","","31",804
"00000315","02","00","02","1","2","2","1","2","1","2","02","1","1","1","22",1261
"00000316","07","01","06","1","2","2","2","2","1","2","06","1","1","1","12",1579
"00000317","01","01","00","2","","","","","","","","","","","18",754
"00000318","04","02","02","1","2","2","1","2","1","2","07","1","1","1","27",785
"00000319","02","01","01","2","","","","","","","","","","","04",296
"00000320","06","04","02","1","2","2","2","2","2","2","01","2","1","2","21",2713
"00000321","05","02","03","1","2","2","1","2","1","1","","1","1","1","05",1820
"00000322","03","01","02","2","","","","","","","","","","","23",674
"00000323","02","01","01","1","2","2","1","2","1","2","02","2","2","2","11",3448
"00000324","03","01","02","2","","","","","","","","","","","16",838
"00000325","06","04","02","1","2","2","1","2","1","1","","1","1","1","07",999
"00000326","04","02","02","1","2","2","2","2","1","1","","1","1","1","29",312
"00000327","02","01","01","1","2","2","1","2","1","2","01","2","2","2","16",1931
"00000328","01","00","01","2","","","","","","","","","","","26",1780
"00000329","05","02","03","1","2","1","1","2","1","1","","2","2","3","26",899
"00000330","05","02","03","2","","","","","","","","","","","07",404
"00000331","03","02","01","1","1","1","1","1","1","1","","1","1","1","02",1022
"00000332","05","04","01","1","1","2","1","2","1","2","01","1","1","1","20",1155
"00000333","04","03","01","1","2","1","1","2","1","1","","2","2","2","24",677
"00000334","02","01","01","2","","","","","","","","","","","14",3074
"00000335","03","01","02","1","2","1","1","2","1","1","","1","1","3","04",765
"00000336","04","02","02","1","2","1","1","2","1","1","","1","1","1","25",1188
"00000337","01","00","01","2","","","","","","","","","","","30",5568
"00000338","07","04","03","1","2","2","1","2","1","1","","1","1","1","09",2086
"00000339","05","02","03","1","2","2","1","2","1","1","","1","1","1","29",275
"00000340","02","01","01","2","","","","","","","","","","","01",441
"00000341","05","03","02","1","2","1","1","1","1","1","","2","1","1","06",304
"00000342","02","01","01","2","","","","","","","","","","","14",3074
"00000343","02","00","02","2","","","","","","","","","","","18",189
"00000344","06","04","02","2","","","","","","","","","","","04",54
"00000345","04","02","02","1","2","2","1","1","1","1","","1","3","3","16",1220
"00000346","03","01","02","1","2","2","2","2","1","2","01","1","1","2","29",198
"00000347","02","01","01","1","2","1","1","2","1","2","06","1","1","1","23",1914
"00000348","02","01","01","2","","","","","","","","","","","22",798
"00000349","01","00","01","2","","","","","","","","","","","04",708
"00000350","01","01","00","2","","","","","","","","","","","26",1686
"00000351","04","02","02","2","","","","","","","","","","","15",2271
"00000352","01","00","01","2","","","","","","","","","","","06",416
"00000353","08","03","05","1","2","1","1","1","1","1","","1","1","1","09",1900
"00000354","06","02","04","1","2","2","2","2","1","2","01","2","2","2","23",1115
"00000355","07","03","04","1","2","2","1","2","1","2","01","1","1","1","18",159
"00000356","05","03","02","1","2","2","1","2","1","2","01","1","1","4","12",1625
"00000357","04","02","02","1","2","2","1","2","1","1","","1","1","1","31",698
"00000358","03","02","01","1","2","1","1","2","1","1","","1","1","2","20",1242
"00000359","04","01","03","1","2","2","1","1","1","1","","2","3","4","05",3243
"00000360","03","02","01","1","2","2","1","2","1","1","","2","2","2","12",698
"00000361","08","06","02","1","2","1","1","2","1","1","","1","1","1","31",481
"00000362","01","00","01","2","","","","","","","","","","","32",585
"00000363","07","05","02","1","2","2","1","2","1","2","01","1","1","1","16",686
"00000364","02","00","02","2","","","","","","","","","","","03",225
"00000365","01","01","00","2","","","","","","","","","","","15",9827
"00000366","05","02","03","1","2","1","1","2","1","1","","2","2","2","24",530
"00000367","02","01","01","1","2","1","2","2","1","1","","1","1","1","05",3636
"00000368","01","01","00","2","","","","","","","","","","","32",696
"00000369","02","01","01","2","","","","","","","","","","","26",874
"00000370","03","01","02","2","","","","","","","","","","","12",467
"00000371","02","00","02","2","","","","","","","","","","","20",752
"00000372","05","03","02","1","2","2","1","2","1","2","01","2","2","2","08",1103
"00000373","04","01","03","1","2","2","2","2","1","1","","2","2","1","29",136
"00000374","04","01","03","1","2","2","1","2","1","2","06","1","1","1","07",1590
"00000375","02","01","01","2","","","","","","","","","","","16",1104
"00000376","06","02","04","1","1","1","2","2","1","1","","3","2","3","20",665
"00000377","03","03","00","2","","","","","","","","","","","16",621
"00000378","02","01","01","2","","","","","","","","","","","32",324
"00000379","03","02","01","1","2","2","1","2","1","2","02","1","1","1","31",686
"00000380","04","03","01","1","2","2","2","2","1","1","","1","2","2","12",411
"00000381","03","02","01","1","2","2","1","2","1","2","01","1","1","1","18",330
"00000382","06","04","02","1","2","1","1","2","1","1","","4","3","2","04",409
"00000383","06","05","01","1","2","1","1","2","1","1","","1","2","2","11",2405
"00000384","04","02","02","1","2","1","1","1","1","1","","1","1","3","14",3816
"00000385","05","02","03","1","2","2","1","2","1","1","","1","1","1","20",1447
"00000386","03","02","01","1","1","1","1","2","1","1","","4","2","2","31",705
"00000387","01","01","00","2","","","","","","","","","","","01",925
"00000388","03","02","01","1","2","1","1","2","1","1","","2","2","2","27",595
"00000389","03","01","02","2","","","","","","","","","","","21",903
"00000390","02","01","01","2","","","","","","","","","","","20",738
"00000391","06","04","02","1","2","2","1","2","1","2","01","2","2","2","27",331
"00000392","03","01","02","2","","","","","","","","","","","06",150
"00000393","07","03","04","2","","","","","","","","","","","29",49
"00000394","04","02","02","1","1","1","1","2","1","1","","1","1","1","28",3676
"00000395","03","02","01","2","","","","","","","","","","","02",687
"00000396","02","01","01","2","","","","","","","","","","","03",253
"00000397","04","02","02","2","","","","","","","","","","","22",418
"00000398","05","03","02","1","2","1","1","2","1","1","","1","1","1","12",733
"00000399","04","02","02","1","2","1","1","2","1","1","","2","1","3","22",676
"00000400","03","02","01","2","","","","","","","","","","","23",641
"00000401","04","01","03","2","","","","","","","","","","","27",276
"00000402","03","01","02","1","1","1","2","2","1","2","01","3","1","4","32",569
"00000403","01","00","01","2","","","","","","","","","","","03",433
"00000404","04","02","02","1","2","1","1","1","1","1","","2","2","1","25",1265
"00000405","03","01","02","1","2","2","1","2","1","1","","1","2","2","29",330
"00000406","02","01","01","1","2","1","1","2","1","1","","1","1","2","17",1196
"00000407","12","04","08","2","","","","","","","","","","","20",23
"00000408","01","01","00","2","","","","","","","","","","","06",462
"00000409","05","02","03","1","2","2","1","2","1","2","01","2","2","2","24",3169
"00000410","04","01","03","2","","","","","","","","","","","06",111
"00000411","04","01","03","1","2","1","1","2","1","1","","1","1","1","14",4874
"00000412","06","02","04","1","1","2","2","2","1","1","","2","1","1","03",106
"00000413","03","01","02","1","2","2","2","2","1","2","01","1","1","1","18",481
"00000414","05","03","02","1","2","1","1","2","1","1","","1","1","1","04",192
"00000415","06","02","04","1","2","1","2","2","1","1","","2","1","3","32",313
"00000416","07","06","01","1","2","2","2","2","1","2","01","1","2","1","23",398
"00000417","04","01","03","1","2","1","1","2","1","1","","3","3","2","08",888
"00000418","02","01","01","2","","","","","","","","","","","15",4670
"00000419","04","01","03","1","1","1","1","1","1","1","","1","1","2","02",1562
"00000420","03","01","02","1","2","1","1","2","1","1","","1","1","2","08",1365
"00000421","02","01","01","2","","","","","","","","","","","10",610
"00000422","03","02","01","1","2","1","1","2","1","1","","1","1","1","08",1449
"00000423","04","00","04","2","","","","","","","","","","","07",497
"00000424","01","01","00","2","","","","","","","","","","","17",1386
"00000425","04","02","02","2","","","","","","","","","","","07",545
